id;class;avg;sentence;particle;verb;unigrams;all;nounsabs;subjabs;objabs;subjcase;objcase;objanimacy;subjanimacy;casegovernment;advfreq;vfreq;pvfreq
393;non-literal;4;'kokku saama olümpiakomitee ja sportlane';kokku;saama;non-literal;3.37;5.76;5.76;0;nom;noobj;0;yes;0;164868;1150781;14723
394;non-literal;4;'korra saama tammearu pets isegi kokku';kokku;saama;non-literal;3.13;4.57;1.91;0;nom;noobj;0;yes;kom;164868;1150781;14723
395;non-literal;4;'mõlema kodutee olema lennuk saama kokku 12 kilomeeter kõrgus võhma kohal';kokku;saama;non-literal;4.27;6.48;8.4;0;nom;noobj;0;no;0;164868;1150781;14723
396;non-literal;4;'tegelikult olema niisugune inimene tohtima üldse kokku saama';kokku;saama;non-literal;2.02;6.18;6.18;0;nom;noobj;0;yes;0;164868;1150781;14723
397;non-literal;4.33;'ja nii see roheline palju õnn kork alt kokku saama';kokku;saama;non-literal;3.01;4.1;1.65;0;nom;noobj;0;no;0;164868;1150781;14723
398;non-literal;4.33;'naine saama raha kokku ja andma edasi sõber';kokku;saama;non-literal;3.63;6.98;7.5;7.52;nom;gen;no;yes;0;164868;1150781;14723
399;non-literal;4;'tema looming saama õnnelikult kokku eesti graafika emotsionaalsus-lüürilisus ja elektrooniline kunst jäisus-küünilisus';kokku;saama;non-literal;3.34;4.73;6.98;0;nom;noobj;0;no;0;164868;1150781;14723
400;non-literal;4;'kaksteist aeg pidama tema kuremaa kokku saama';kokku;saama;non-literal;3.35;7.45;1.91;0;nom;noobj;0;yes;kom;164868;1150781;14723
409;non-literal;3.67;'andrus joomas ajama rahvas hoov kokku ja siis saatma üks tegelane ütlema et üritus lükkuma edasi';kokku;ajama;non-literal;3.79;5.64;5.45;6.55;nom;gen;yes;yes;0;164868;50395;892
410;non-literal;4.67;'gruusia rikas olema oma raha kokku ajama enamasti naaberriik türgi gruusia defitsiitne kaup vedama';kokku;ajama;non-literal;3.52;5.06;1.45;7.52;nom;gen;no;yes;0;164868;50395;892
411;non-literal;4.33;'kes võtma see tavaline lektüür vaatama et mis jama olema kokku ajama';kokku;ajama;non-literal;2.37;3.89;0;2.79;nosubj;nom;no;0;0;164868;50395;892
412;non-literal;4.67;'võõras saladus võima hõlpsasti varandus kokku ajama';kokku;ajama;non-literal;2.73;3.57;0;5.36;nosubj;gen;no;0;0;164868;50395;892
413;non-literal;3.67;'joonistus autor olema gertrude thompson elav modell ajama kokku isand carroll ise';kokku;ajama;non-literal;5.18;6.99;6.33;7.66;nom;nom;yes;yes;0;164868;50395;892
414;non-literal;3.67;'kõigepealt tulema meenutama suve mil fotograaf viktor koshkin ajama üks buss kokku trobikond eesti radikaalne rockbänd';kokku;ajama;non-literal;4.41;6.12;6.77;7.42;nom;gen;yes;yes;0;164868;50395;892
415;non-literal;5;'ajama juhe kokku kui see küsimus kümme kaupa päev mailbox potsatama';kokku;ajama;non-literal;4.24;5.02;0;8.24;nosubj;gen;no;0;0;164868;50395;892
416;non-literal;4.67;'halvatud ja isehakanud ühiskonnaheidik olema flynt kokku ajama hiigelvarandus';kokku;ajama;non-literal;3.01;3.04;4.58;2.44;nom;gen;no;yes;0;164868;50395;892
417;non-literal;3;'tundma kuidas liiges minema ragisema paika ja luu hakkama kokku kasvama';kokku;kasvama;non-literal;3.88;7.57;8.27;0;nom;noobj;0;no;0;164868;67853;691
418;non-literal;4.33;'olema teineteise nii kokku kasvama';kokku;kasvama;non-literal;1.71;0;1.91;0;nom;noobj;0;yes;kom;164868;67853;691
419;non-literal;3;'mustamäe olema aktiivne ehitustegevus tulemus kokku kasvama kristiine linnaosa';kokku;kasvama;non-literal;3.65;4.75;5.71;0;nom;noobj;0;no;kom;164868;67853;691
420;non-literal;3;'värske haav klikkima kasvama see kui imevägi kokku ning armistuma';kokku;kasvama;non-literal;3.97;6.45;8.49;0;nom;noobj;0;no;0;164868;67853;691
421;non-literal;4.33;'herman olema loodusega kokku kasvama';kokku;kasvama;non-literal;3.38;5.17;6.39;0;nom;noobj;0;yes;kom;164868;67853;691
422;non-literal;4;'ehk jõudma ka ära ootama kui eesti ja soome kasvama suur-sooome kokku';kokku;kasvama;non-literal;2.63;4.01;4.01;0;nom;noobj;0;no;0;164868;67853;691
423;non-literal;4;'ainult et mudist käsitlus kasvama sotsiaalne allegooria niivõrd orgaaniliselt substants kokku et puuduma vajadus jälgi ajama';kokku;kasvama;non-literal;2.16;2.19;1.49;0;nom;noobj;0;no;kom;164868;67853;691
424;non-literal;4;'erinev mobiilside standard kasvama kokku universaalne 3g standard';kokku;kasvama;non-literal;3.53;5.73;3.52;0;nom;noobj;0;no;0;164868;67853;691
425;literal;1.33;'oma käekell monteerima mati kokku mitu kell';kokku;monteerima;literal;5;7.64;6.29;8.94;nom;gen;no;yes;0;164868;1284;247
426;literal;1.33;'hommikuvõimlemine monteerima kokku üks stuudio köögisaade';kokku;monteerima;literal;5.42;6.33;0;5.53;nosubj;nom;no;0;0;164868;1284;247
427;literal;1.33;'see monteerima maja kokku väga lühike aeg';kokku;monteerima;literal;3.85;6.14;0;2.13;nosubj;nom;no;0;0;164868;1284;247
428;literal;1.33;'mina hämmastama kui kiiresti sina monteerima kokku kaubamaja-stseen mis võte mina ise pealt nägema';kokku;monteerima;literal;2.38;4.85;3.02;6.3;nom;part;no;yes;0;164868;1284;247
430;literal;1.33;'laps müüma lego mis saama kokku monteerima fašistlik koonduslaager';kokku;monteerima;literal;3.66;6.36;0;5.1;nosubj;gen;no;0;0;164868;1284;247
431;literal;1.33;'nüüd olema erinev filmisaade enam põhjus eeter paiskama reklaamuudis see kohta kuidas virtuaalne reaalsus ja elev näitleja kokku olema monteerima';kokku;monteerima;non-literal;2.74;4.4;0;4.25;nosubj;nom;no;0;0;164868;1284;247
432;literal;1.67;'postiülem monteerima kummitäht kokku kaherealine tempel eesti post';kokku;monteerima;literal;5.34;6.21;6.31;8.34;nom;gen;no;yes;0;164868;1284;247
433;non-literal;3;'kevadel helistama tema etvst ning paluti rääkida olukord eesti ning vabamüürlus ning hiljem monteerima see tellimustöö mõnitav ja pahatahtlik mood kokku';kokku;monteerima;literal;2.99;3.6;0;2.13;nosubj;nom;no;0;0;164868;1284;247
434;non-literal;4.33;'kokku olema kuhjama klubimood narkootikum sekskoomiks ja muud nooruslik ning see kõik ühepajatoit kujundama';kokku;kuhjama;non-literal;3.37;6.65;0;7.27;nosubj;nom;no;0;0;164868;939;146
435;literal;2;'tuisk kuhjama paiguti kokku kuni pool meeter kõrgune hang';kokku;kuhjama;non-literal;5.54;7.75;7.21;8.25;nom;part;no;no;0;164868;939;146
436;non-literal;5;'kokku kuhjama dollarihunnik jagama korraldaja näputäis kumbki poksija ülejäänu kühveldama lumelabidas oma tasku';kokku;kuhjama;non-literal;5.2;7.13;0;0;nosubj;noobj;0;0;0;164868;939;146
437;non-literal;3.33;'olema mingi mõte kollektsioneerima motohiir või barbie või kuhjama kokku mingi muu samatüübiline lelu';kokku;kuhjama;non-literal;3.77;5.41;0;8.15;nosubj;gen;no;0;0;164868;939;146
438;non-literal;3.33;'kuhjama wuolijoe kohta palju materjal kokku';kokku;kuhjama;non-literal;4.13;6.12;1.91;6.78;nom;part;no;yes;0;164868;939;146
439;non-literal;3.33;'ja kui see õudus kokku kuhjama selguma et prodigy see vast olema miski kuratlik';kokku;kuhjama;non-literal;2.42;4.54;0;1.85;nosubj;nom;no;0;0;164868;939;146
440;non-literal;3.33;'huntington ei esinema teadlane vaid advokaat kuhjama kokku hulga mõjuv materjal';kokku;kuhjama;non-literal;3.75;5.92;0;6.78;nosubj;part;no;0;0;164868;939;146
441;non-literal;4;'kui eestlane kirjutama siis ei tavatsema tema oma tekst nii palju nähtav viga kokku kuhjama nagu kender';kokku;kuhjama;non-literal;2.89;4.87;3.27;1.33;nom;part;no;yes;0;164868;939;146
442;non-literal;3.67;'hetkemõnu lõppema tülgastus olema pahane iseenese ja oma kokku kuhjama kraam peale';kokku;kuhjama;non-literal;2.43;3.24;0;0;nosubj;noobj;0;0;0;164868;939;146
443;non-literal;3.67;'paraku domineerima valik tegemine kvantitatiivne läbilõige printsiip või olema kõik kamal kokku kuhjama';kokku;kuhjama;non-literal;2.59;2.43;0;3.09;nosubj;part;no;0;0;164868;939;146
445;non-literal;4.33;'käima ühendriik õppima sättima lõhmus tänavu kokku oma investeerimispank lhv';kokku;sättima;non-literal;4.11;6.17;6.88;6.51;nom;gen;no;yes;0;164868;4665;55
446;non-literal;4;'tema võima muretult oma vaitsuskabinet kokku sättima';kokku;sättima;non-literal;2.26;3.07;3.27;3.07;nom;part;yes;yes;0;164868;4665;55
448;non-literal;3.67;'viimati sättima tema koos laps kokku lapitekk mis saama nimi päikeseloojang';kokku;sättima;non-literal;4.09;6.75;3.27;7.39;nom;gen;no;yes;0;164868;4665;55
449;non-literal;3.33;'vaher roll olema eri mälestuskild omavahel kokku sättima';kokku;sättima;non-literal;3.12;4.36;0;3.06;nosubj;nom;no;0;0;164868;4665;55
450;non-literal;4;'bush sättima administratsioon kokku';kokku;sättima;non-literal;3.98;4.99;6.21;3.78;nom;part;yes;yes;0;164868;4665;55
451;literal;1;'vintis kumm hakkama karjuma ja käsi kokku taguma rii-a';kokku;taguma;literal;5.03;7.42;7.7;7.21;nom;part;no;yes;0;164868;2678;49
452;literal;0.67;'lai esiistmetevahe välistama see et juht ja kaardilugeja kõikuv auto omavahel pea kokku taguma';kokku;taguma;literal;4.1;8.01;6.92;8.42;nom;part;no;yes;0;164868;2678;49
453;literal;0.67;'taguma rada ääres pann ka kokku selgitama kristina medal õlu tähistama herman';kokku;taguma;literal;5.44;7.19;1.91;8.02;nom;part;no;yes;0;164868;2678;49
454;literal;0.67;'karuvanaema ja mõmmilaps taguma käpp kokku';kokku;taguma;literal;4.64;7.88;7.9;7.86;nom;part;no;yes;0;164868;2678;49
455;literal;0.67;'taani taguma niisama komme pärast käsi kokku';kokku;taguma;literal;3.86;4.71;0;7.21;nosubj;part;no;0;0;164868;2678;49
456;literal;0.67;'külmetav politseinik taguma käsi kokku';kokku;taguma;literal;5.69;7.5;7.8;7.21;nom;part;no;yes;0;164868;2678;49
457;literal;0.67;'pärast triumf marssima tänav kogu linn pott ja pann taguma rõõmsalt kokku nii vanaema kui sülelaps';kokku;taguma;literal;5.29;6.73;7.1;8.08;nom;part;no;yes;0;164868;2678;49
458;literal;0.67;'iga hommiku tõusma juba kell neli ja peletama kastrulikaas kokku taguma kuldnokk oma maasikapõld';kokku;taguma;literal;4.62;7.26;1.91;8.27;nom;part;no;yes;0;164868;2678;49
459;literal;0.67;'taguma kaheaastane poisivolask üks kaunis kevadhommiku kaks klots kokku';kokku;taguma;literal;4.92;5.9;3.02;7.48;nom;part;no;yes;0;164868;2678;49
467;non-literal;5;'ameerika presidendeiskandaal kõlksuma kokku barry levinson värske film wag the dog';kokku;kõlksuma;non-literal;4.92;5.19;7.22;0;nom;noobj;0;no;kom;164868;64;21
468;non-literal;5;'avdjevevi mõtteavaldus kõlksuma hämmastavalt kokku seisukoht mis kuulutama edgar savisaar keskerakond kongress viljand';kokku;kõlksuma;non-literal;3.77;4.82;2.02;0;nom;noobj;0;no;kom;164868;64;21
469;non-literal;5;'ja lõpuks kuidas kõik omavahel kokku kõlksuma';kokku;kõlksuma;non-literal;1.96;0;2.09;0;nom;noobj;0;no;0;164868;64;21
470;non-literal;5;'ja see üsna kõlksuma kokku jaanus ise kolleeg jamaikalane dramaturg nägemus eesti';kokku;kõlksuma;non-literal;3.47;5.41;2.13;0;nom;noobj;0;no;kom;164868;64;21
471;non-literal;5;'see kõlksuma kenasti ajastu kokku';kokku;kõlksuma;non-literal;2.26;1.74;2.13;0;nom;noobj;0;no;kom;164868;64;21
472;non-literal;5;'see hoolimata ei kõlksuma mifune kokku eestlane tavaarusaam skandinaavia kino';kokku;kõlksuma;non-literal;3.62;5;4.88;0;nom;noobj;0;no;kom;164868;64;21
473;non-literal;5;'maamehel olema suur mure et maareform olema tulemusteta ning söötis põld vaatama kiskuma süda kokku';kokku;kiskuma;non-literal;3.68;4.61;7.92;0;nom;noobj;0;no;0;164868;5795;18
474;non-literal;5;'aurelius jõudma haigetuba tagasi hetk mil üllas patriits nägu valu kokku kiskuma';kokku;kiskuma;non-literal;4.49;5.79;8.13;0;nom;noobj;0;no;0;164868;5795;18
475;non-literal;5;'ka praegu kiskuma süda kokku kui olema sadam ja näen mingi laev tulema';kokku;kiskuma;non-literal;3.7;7.94;7.92;0;nom;noobj;0;no;0;164868;5795;18
476;literal;0.67;'lasnamäe kuristiku küla saama oma nimi tõenäoliselt lähedal asuv kurisu järgi kuhu ümbruskond vesi kokku valguma';kokku;valguma;non-literal;4.12;6.39;8.26;0;nom;noobj;0;no;0;164868;1374;18
477;non-literal;5;'vaatlema üheskoos õlilapiline lammas valguma tema süda kokku nagu õli';kokku;valguma;non-literal;4.66;8.18;7.92;0;nom;noobj;0;no;0;164868;1374;18
478;non-literal;4.33;'tema pidama aitama meri partei tema saatus suhtes kokku leppima';kokku;leppima;non-literal;2.96;4.83;0;0;nosubj;noobj;0;0;kom;164868;28660;16009
479;non-literal;4.33;'noormees müüma meelemürk telefon teel tema helistama leppima kokku koht ja aeg kus tehing toimuma';kokku;leppima;non-literal;3.91;5.46;0;0;nosubj;noobj;0;0;0;164868;28660;16009
480;non-literal;4.33;'teisipäev pärastlõuna ei suutma kokku leppima kui karmisõnaliselt tuleks iisrael hukka mõistma';kokku;leppima;non-literal;2.63;4.83;0;0;nosubj;noobj;0;0;0;164868;28660;16009
481;non-literal;4.33;'tahtma siis kokku leppima järgmine pildistamine aeg ja koha suhtes';kokku;leppima;non-literal;2.64;4.99;1.91;6.65;nom;gen;no;yes;0;164868;28660;16009
482;non-literal;4.33;'savi kavatsema kutsuma kõik riigikogu fraktsioon ümarlaud et kokku leppima presidendivalimiine protseduur';kokku;leppima;non-literal;3.8;5.69;0;4.17;nosubj;nom;no;0;0;164868;28660;16009
483;non-literal;4.33;'pealekauba õnnestuma investor kokku leppima et 50% rentnik aktsia andma vanalinn fond';kokku;leppima;non-literal;3.7;6.13;0;0;nosubj;noobj;0;0;kom;164868;28660;16009
484;non-literal;4.33;'seepeale kuuldus mingi mõttevahetus mis tulemus leppima kokku et x olema kahjuks koht';kokku;leppima;non-literal;2.36;3.41;0;0;nosubj;noobj;0;0;0;164868;28660;16009
485;non-literal;4.33;'aga vene näe leppima hoopis õllene saks kokku et üks minema tema jooma';kokku;leppima;non-literal;3.74;6.1;4.47;0;nom;noobj;0;yes;kom;164868;28660;16009
486;non-literal;4.33;'kiirelt leppima kokku tehing misjärel üks ärimees minema otsima raha ja teine metall';kokku;leppima;non-literal;4.45;6.5;0;0;nosubj;noobj;0;0;0;164868;28660;16009
487;non-literal;4.33;'veel tähendama ain et tema ei kärpima ja kui kärpima leppima see enne kokku';kokku;leppima;non-literal;2.18;4.64;0;0;nosubj;noobj;0;0;0;164868;28660;16009
488;non-literal;4.33;'valitsus leppima vanem kokku et enamik laps viima ravi newfoundland';kokku;leppima;non-literal;3.6;4.63;3.82;0;nom;noobj;0;yes;kom;164868;28660;16009
489;non-literal;4;'bayern ja manu tõrjuma fc barcelona alagrupiturniir kõrvale';kõrvale;tõrjuma;non-literal;4.65;6.39;7.22;6.61;nom;gen;yes;yes;0;16881;9042;455
490;non-literal;4.33;'erametsaliit sõna soosima arengukava suuri tegija ja püüdma kõrvale tõrjuma väike';kõrvale;tõrjuma;non-literal;3.01;4.94;4.39;3;nom;part;yes;no;0;16881;9042;455
491;literal;1;'tema hüppama ette vehkima käsi tõrjuma mina rada kõrvale pehme lumi kus lumi suusk alla jääma';kõrvale;tõrjuma;non-literal;4.75;7.97;3.27;1.91;nom;gen;yes;yes;0;16881;9042;455
492;non-literal;4;'mm valmistuma helde poola koos poolakas sedakorda tema kõrvale ei tõrjuma';kõrvale;tõrjuma;non-literal;3.23;4.63;0;3.27;nosubj;part;yes;0;0;16881;9042;455
493;non-literal;4.33;'vürtspoodnik ajastu tõrjuma suur tunne ja kõlav aade lihtsalt kõrvale';kõrvale;tõrjuma;non-literal;2.11;2.41;1.74;1.04;nom;nom;no;no;0;16881;9042;455
494;non-literal;4.33;'senini olema vähi kõik oma konkurent ükshaaval kõrvale tõrjuma';kõrvale;tõrjuma;non-literal;2.36;4.55;6.26;2.84;nom;nom;yes;yes;0;16881;9042;455
495;non-literal;4.33;'30aastane juhtima elisabeth sky-tv olema tõrjuma kõrvale isa kunagine lemmik sam chisholm';kõrvale;tõrjuma;non-literal;3.56;5.26;5.54;2.82;nom;gen;yes;yes;0;16881;9042;455
496;non-literal;4.33;'restoran kõrvale tõrjuma hannes alustama juriidiline sõda vend vastu';kõrvale;tõrjuma;non-literal;3.79;6.28;0;0;nosubj;noobj;0;0;0;16881;9042;455
497;non-literal;4.33;'massiturism tõrjuma konkurent kõrvale just oma teenustepakett madalam hind';kõrvale;tõrjuma;non-literal;2.9;4.6;5.07;2.84;nom;nom;yes;yes;0;16881;9042;455
498;non-literal;4.33;'mälestus too aeg olema külge jääma hüüdnimi mister tempel';külge;jääma;non-literal;3.45;4.43;3.72;0;nom;noobj;0;no;0;3238;390451;576
499;literal;1.67;'kui koer ka lõhn võtma siis see olema veel rikkumine võib-olla olema jope näiteks garderoob kõrvuti ja sealt jääma lõhn külge';külge;jääma;non-literal;3.25;6.5;5.98;0;nom;noobj;0;no;0;3238;390451;576
500;non-literal;4.33;'trikk jääma külge ja olema inimene raisus';külge;jääma;non-literal;2.8;3.69;2.02;0;nom;noobj;0;no;0;3238;390451;576
501;non-literal;4;'õige nahk levitama spetsiifiline aroom mis jääma ka riie hästi külge ja püsima seal päev';külge;jääma;non-literal;3.3;6.9;1.14;0;nom;noobj;0;no;all;3238;390451;576
503;non-literal;4.33;'nii jääma keel külge';külge;jääma;non-literal;2.25;2.87;2.87;0;nom;noobj;0;no;0;3238;390451;576
504;non-literal;4.33;'see komme olema tema külge jääma tormiline noorusaasta';külge;jääma;non-literal;2.11;1.43;1.04;0;nom;noobj;0;no;all;3238;390451;576
505;non-literal;4.33;'dvigatel töötamine päev jääma pavel külge ilueedi hüüdnimi';külge;jääma;non-literal;4.67;5.3;3.72;0;nom;noobj;0;no;all;3238;390451;576
506;non-literal;4.33;'hiljem lükkama see väide küll ümber ent plekk jääma stockholm ikkagi külge';külge;jääma;non-literal;2.63;4.5;6.51;0;nom;noobj;0;no;all;3238;390451;576
507;non-literal;4.33;'artikkel jääma relvatehing isa külge hüüdnimi papa apa';külge;jääma;non-literal;4.96;5.28;3.72;0;nom;noobj;0;no;all;3238;390451;576
508;non-literal;4.33;'ei olema küll kunagi tulema kedagi elustama aga siit-sealt olema üht-teist külge jääma';külge;jääma;non-literal;2.1;0;1.52;0;nom;noobj;0;no;0;3238;390451;576
509;non-literal;4;'pääsema lahti hele kisa ja ohver jätma peagi rahule sest aken olema lahti ja kõik hästi kuulma';lahti;pääsema;non-literal;2.93;6.01;5.53;0;nom;noobj;0;no;0;37269;65253;362
512;non-literal;5;'esimene kahjutuli pääsema lahti esmaspäev hommik kell üheksa paiku tartu lähedal tõrvandi';lahti;pääsema;non-literal;4.9;5.9;5.38;0;nom;noobj;0;no;0;37269;65253;362
513;non-literal;3.67;'vahepeal pääsema miski punn tagant lahti';lahti;pääsema;non-literal;3.34;0;1.41;0;nom;noobj;0;no;0;37269;65253;362
518;non-literal;5;'restoran omanik raiuma kaljukindlalt et tema juurest olema salmonelloos mingi juht lahti pääsema';lahti;pääsema;non-literal;4.05;6.95;6.29;0;nom;noobj;0;no;el;37269;65253;362
519;non-literal;4.33;'leedu kavatsema siduma litt lahti dollar ning siduma see ümber euro';lahti;siduma;non-literal;4.14;7.09;4.8;6.74;nom;gen;no;yes;el;37269;65931;152
520;non-literal;4.67;'juuni euroopa nõukogu heaks kiidetud reform siduma toetus lahti toodang maht';lahti;siduma;non-literal;3.32;3.56;0;5.83;nosubj;nom;no;0;el;37269;65931;152
521;literal;0.67;'torn väljak siduma lahti silm ning algama katsumus';lahti;siduma;non-literal;4.33;5.87;0;5.24;nosubj;nom;no;0;0;37269;65931;152
522;literal;0.67;'jalg lubama lahti siduma poiss alles siis kui tema lubama teine jook välja tegema';lahti;siduma;non-literal;3.45;6.7;0;8.73;nosubj;nom;no;0;0;37269;65931;152
523;non-literal;4.67;'seetõttu suurenema surve siduma kroon saksa mark lahti';lahti;siduma;non-literal;4.43;6.49;0;8.3;nosubj;nom;no;0;el;37269;65931;152
524;non-literal;3.67;'ükskord viskama üks soomlane vesi kes olema ise kinnitama üle kolm laev koha ega viitsima lahti siduma';lahti;siduma;non-literal;3.9;7.34;1.42;1.58;nom;part;yes;yes;0;37269;65931;152
525;literal;0.67;'mina siduma kingapael lahti mõni kükitama niisama või närima küüs';lahti;siduma;non-literal;4.81;7.95;1.91;8.42;nom;part;no;yes;0;37269;65931;152
526;literal;0.33;'voltima kiri lahti';lahti;voltima;literal;5.8;7.1;1.91;7.1;nom;gen;no;yes;0;37269;260;28
527;literal;0.67;'see-eest olema iste võimalik iga suund kokku ja lahti voltima';lahti;voltima;literal;3.21;6.13;0;8.69;nosubj;part;no;0;0;37269;260;28
528;literal;0.33;'tema voltima taskunuga lahti ja nakitsema natuke nahk alt';lahti;voltima;literal;4.9;7.88;3.27;8.22;nom;gen;no;yes;0;37269;260;28
529;literal;0.33;'kate saama lahti voltima vaid kaks käsi kasutama';lahti;voltima;literal;3.99;5.27;0;3.33;nosubj;part;no;0;0;37269;260;28
530;literal;0.67;'mir kahemeheline meeskond andma progress käsk 25-meetrine peegel lahti voltima';lahti;voltima;literal;4.71;4.96;0;8.38;nosubj;nom;no;0;0;37269;260;28
531;literal;1;'pühapäev voltima ise arvutikäsk peale lahti vaid üks patarei paneel';lahti;voltima;literal;4.56;6.69;7.57;1.58;nom;part;no;no;0;37269;260;28
532;literal;0;'tüürimees olema lahti voltima tallinn lennuväli kaart';lahti;voltima;literal;5.83;7.28;6.89;7.97;nom;part;no;yes;0;37269;260;28
535;non-literal;3.67;'vanem ei pääsema tema enam ligi';ligi;pääsema;non-literal;2.89;5.39;5.39;0;nom;noobj;0;yes;all;48823;65253;1733
537;non-literal;3.67;'film olema xx century fox all lavastama baz luhrmann kes soov paistma olema ligi pääsema teismeline põlvkond';ligi;pääsema;non-literal;3.34;4.02;0;0;nosubj;noobj;0;0;all;48823;65253;1733
541;non-literal;3.67;'kas sina kui maksuamet juht huvitama kuidas eestlane nii suur summa ligi pääsema';ligi;pääsema;non-literal;2.69;4.55;5.74;0;nom;noobj;0;yes;all;48823;65253;1733
544;non-literal;4;'politseinik tulema läbi ja pärast marssima turg minema nagu hulgiladu';läbi;tulema;non-literal;3.94;7.22;7.8;0;nom;noobj;0;yes;0;99135;619571;3941
545;non-literal;4;'järgmine hommik enne suvila sõitu tulema abielupaar pood läbi ja võtma oma tibu kaasa';läbi;tulema;non-literal;4.25;7.11;7.11;0;nom;noobj;0;yes;el;99135;619571;3941
547;literal;0;'kui mina kreeka lava taga olema seal olema üks aken fänn tulema see läbi';läbi;tulema;non-literal;4.01;7.98;7.2;0;nom;noobj;0;yes;el;99135;619571;3941
548;non-literal;4;'nüüd tulema inimene tihti enne raamatupood minek mina läbi ja küsima kas mina ka ihaldatud teos ootama olema';läbi;tulema;non-literal;2.66;5.69;6.18;0;nom;noobj;0;yes;abl;99135;619571;3941
549;literal;0;'see puhul olema oht et sigar ei tulema õhk enam hästi läbi';läbi;tulema;non-literal;2.58;5.66;7.31;0;nom;noobj;0;yes;el;99135;619571;3941
550;non-literal;4;'ja kohe nõuanne tulema mina aga partei büroo läbi';läbi;tulema;non-literal;2.6;4.35;1.91;0;nom;noobj;0;yes;el;99135;619571;3941
551;non-literal;4;'tulema homme läbi ütlema ja tuiskama pood välja';läbi;tulema;literal;3.52;7.85;1.91;0;nom;noobj;0;yes;0;99135;619571;3941
552;literal;2;'mina olema ise see koht nägema kust läbi tulema';läbi;tulema;non-literal;2.09;4.85;0;0;nosubj;noobj;0;0;el;99135;619571;3941
554;non-literal;3.67;'kui aarne lokk esitama mina avaldus vaatama see 2-3 nädal jooksul läbi';läbi;vaatama;non-literal;3.14;4.73;1.91;2.13;nom;gen;no;yes;0;99135;123733;3800
555;non-literal;3.67;'koos vaatama läbi karjäärivõimalus oma ettevõte ja otsima lahendus';läbi;vaatama;non-literal;2.76;3.11;0;2.87;nosubj;nom;no;0;0;99135;123733;3800
556;non-literal;3.67;'arst vaatama läbi haige meesterahvas';läbi;vaatama;non-literal;4.69;7.04;7.58;6.5;nom;part;yes;yes;0;99135;123733;3800
557;literal;1;'aga mees seisma ja vaatama mina läbi';läbi;vaatama;non-literal;3.37;7.31;7.31;0;nom;noobj;0;yes;el;99135;123733;3800
558;literal;2;'kui tolliametnik parajasti laulja kohver läbi vaatama hakkama tunglema frank ümber aga juba suur fännihulk';läbi;vaatama;non-literal;3.64;7.78;7.49;8.22;nom;part;no;yes;0;99135;123733;3800
559;non-literal;3.67;'volikogu kantselei istung vaatama läbi eelmine volikogu poolt lõpetama jäänud eelnõu';läbi;vaatama;non-literal;3.6;4.55;0;4.1;nosubj;part;no;0;0;99135;123733;3800
560;non-literal;3.67;'mina olema läbi vaatama etv kirjalik asjaajamine';läbi;vaatama;non-literal;3.3;4.81;1.91;2.27;nom;gen;no;yes;0;99135;123733;3800
561;non-literal;3.67;'aga nüüd tulema kõik veel kord läbi vaatama';läbi;vaatama;non-literal;1.85;0;0;2.09;nosubj;nom;no;0;0;99135;123733;3800
562;non-literal;3.67;'ühisliising võtma tema lahkelt vastu ja lubama tema liisingutaotlus järgmine päev läbi vaatama';läbi;vaatama;non-literal;2.76;4.44;0;3.36;nosubj;nom;no;0;0;99135;123733;3800
563;non-literal;3.67;'ometi pidama tema kõvasti veenma et tema minema dr mardna juurde ja laskma ise uuesti läbi vaatama';läbi;vaatama;non-literal;2.52;6.64;0;1.58;nosubj;part;yes;0;0;99135;123733;3800
564;non-literal;3.67;'stalin vaatama kõik tekst läbi ja jääma mina oma juurde';läbi;vaatama;non-literal;2.92;5.19;5.32;8.34;nom;nom;no;yes;0;99135;123733;3800
565;literal;2;'pakistan lennujaam toppima aeg-ajalt kahtlustatav suur röntgeniaparaat mis pagas läbi vaatama';läbi;vaatama;non-literal;4.12;7.13;0;7.45;nosubj;part;no;0;0;99135;123733;3800
566;non-literal;3.33;'rootsi tõmbama liiklus takistav veomasin tee serv et sõiduauto läbi laskma';läbi;laskma;literal;4.55;6.47;7.54;7.88;nom;nom;no;no;0;99135;82027;2098
567;non-literal;3;'uus katus tegema insener clausen soome kuid see olema parem katus hakkama läbi laskma uus koht';läbi;laskma;non-literal;3.93;6.95;8.31;0;nom;noobj;0;no;el;99135;82027;2098
568;literal;1;'kui me palk sealt läbi laskma siis lauamaterjal müüma olema juba palju keerulisem kui palk';läbi;laskma;literal;2.29;4.72;1.91;3.09;nom;gen;no;yes;el;99135;82027;2098
569;non-literal;4;'ka mina tegema üsna tihti ettepanek laskma see või teine inimene raha eest eksam läbi';läbi;laskma;non-literal;3.24;5.4;0;6.18;nosubj;nom;yes;0;abl;99135;82027;2098
570;non-literal;5;'poemüüja mees lülitama liiga palju elektriseade korraga sisse ja laskma kork läbi';läbi;laskma;literal;4.24;7.41;7.58;7.46;nom;nom;no;yes;0;99135;82027;2098
571;literal;1;'seltskond olema mees kes jalg relv läbi laskma';läbi;laskma;non-literal;4.57;7.4;0;8.73;nosubj;nom;no;0;kom;99135;82027;2098
572;non-literal;3.33;'teine tund lõpp olema mina kui pekitükk mis perenaine olema korraks kuum vesi alt läbi laskma';läbi;laskma;literal;3.64;5.97;7.2;1.14;nom;gen;no;yes;abl;99135;82027;2098
